split,model,MAE,RMSE,SMAPE,train_end_date,test_start_date,scope
0,xgb,82.04572993011129,105.57571865999056,0.023468892261541866,2022-12-31,2023-03-31,DEP_33
0,arima,159.32694452496105,206.01281555108366,0.04474651808071958,2022-12-31,2023-03-31,DEP_33
0,prophet,283.27926957123225,334.824067307652,0.07773910176259706,2022-12-31,2023-03-31,DEP_33
1,xgb,157.48103884001728,172.98692206146967,0.04513233912207695,2023-03-31,2023-06-30,DEP_33
1,arima,168.4260275013777,193.30559384173608,0.048188925559075946,2023-03-31,2023-06-30,DEP_33
1,prophet,319.0211712152677,365.3523516599427,0.088751446210546,2023-03-31,2023-06-30,DEP_33
2,xgb,179.4361801449603,185.27763157571178,0.05203303725005401,2023-06-30,2023-09-30,DEP_33
2,arima,215.18423545926044,230.22271885392183,0.06206272392821288,2023-06-30,2023-09-30,DEP_33
2,prophet,341.9630308146337,353.51134872023596,0.09673216609732059,2023-06-30,2023-09-30,DEP_33
3,xgb,166.5911540843681,167.51922475936075,0.04869409019311825,2023-09-30,2023-12-31,DEP_33
3,arima,144.00015965316902,148.43386046631105,0.04220290271514744,2023-09-30,2023-12-31,DEP_33
3,prophet,154.74558349594759,157.99992836102757,0.04529260425496055,2023-09-30,2023-12-31,DEP_33
4,xgb,63.49772861193355,69.04968503841273,0.018938690288231617,2023-12-31,2024-03-31,DEP_33
4,arima,77.0074688855126,78.06172808430632,0.022903852135290004,2023-12-31,2024-03-31,DEP_33
4,prophet,67.27481355320288,71.83292406667364,0.02038917733387758,2023-12-31,2024-03-31,DEP_33
5,xgb,33.15694545200893,45.044503426607776,0.010062419292205643,2024-03-31,2024-06-30,DEP_33
5,arima,61.88952205172188,67.80878285298947,0.01858197485510245,2024-03-31,2024-06-30,DEP_33
5,prophet,131.66585503374768,147.7968428583016,0.040928805404249875,2024-03-31,2024-06-30,DEP_33
6,xgb,62.251813616071445,72.78926523302562,0.018891473998244184,2024-06-30,2024-09-30,DEP_33
6,arima,35.75917412401475,40.10728144579794,0.010922498906993414,2024-06-30,2024-09-30,DEP_33
6,prophet,159.14096110527305,160.7195650438354,0.04975519777063767,2024-06-30,2024-09-30,DEP_33
